date,payee,amount,notes
2024-08-01,Netflix,15.99,Monthly subscription
2024-08-02,John's Studio,120.00,Family portrait session
2024-08-03,Spotify,9.99,Music streaming service
2024-08-04,Artistry Gallery,250.00,Custom portrait painting
2024-08-05,Amazon Prime,12.99,Prime membership renewal
2024-08-06,Creative Snapshots,75.00,Headshot photography
2024-08-07,Hulu,11.99,Streaming service
2024-08-08,Picture Perfect,150.00,Wedding portrait
2024-08-09,Apple Music,9.99,Music subscription
2024-08-10,Frame It,200.00,Framed portrait
